|acc|,|gyr|,|id|,|quat|,|timestamp|
|[-497664.0, 36864.0, 4063232.0]|,|[0.0, -416.0, 80.0]|,|Myo2|,|[0.9015841707572182, -0.023438380716997616, 0.0552388920543824, 0.4284218600328288]|,1517244896.579201
|[-475136.0, 47104.0, 4061184.0]|,|[48.0, -256.0, 48.0]|,|Myo2|,|[0.9015841707572182, -0.023438380716997616, 0.0552388920543824, 0.4284218600328288]|,1517244896.579979
|[-477184.0, 28672.0, 4065280.0]|,|[-16.0, -112.0, -80.0]|,|Myo2|,|[0.9015841707572182, -0.023438380716997616, 0.0552388920543824, 0.4284218600328288]|,1517244896.580651
|[-475136.0, 63488.0, 4081664.0]|,|[-48.0, 192.0, -176.0]|,|Myo2|,|[0.9015854589039534, -0.0233773766678095, 0.05523897097746109, 0.4284224721445297]|,1517244896.581268
|[-325632.0, -26624.0, 4192256.0]|,|[-32.0, -384.0, -64.0]|,|Myo1|,|[0.9945389990980089, -0.0005493341715896698, 0.04004035739586927, -0.09637762854889874]|,1517244896.611973
|[-321536.0, -10240.0, 4210688.0]|,|[-32.0, -352.0, -64.0]|,|Myo1|,|[0.9945452850058735, -0.000488300127657235, 0.039735422888107504, -0.09643927521230393]|,1517244896.61247
|[-305152.0, -34816.0, 4169728.0]|,|[-224.0, -288.0, 16.0]|,|Myo1|,|[0.9945547983881443, -0.0006714190979667108, 0.03949165058040563, -0.09644019770794575]|,1517244896.613295
|[-497664.0, 55296.0, 4114432.0]|,|[16.0, 160.0, -96.0]|,|Myo2|,|[0.9015854589039534, -0.0233773766678095, 0.05523897097746109, 0.4284224721445297]|,1517244896.629211
|[-487424.0, 32768.0, 4083712.0]|,|[-64.0, 80.0, 32.0]|,|Myo2|,|[0.9015854589039534, -0.0233773766678095, 0.05523897097746109, 0.4284224721445297]|,1517244896.629767
|[-501760.0, 49152.0, 4063232.0]|,|[-144.0, -32.0, 48.0]|,|Myo2|,|[0.9015837021889147, -0.023316293699557608, 0.05529990076387223, 0.4284216373748556]|,1517244896.630523
|[-313344.0, -26624.0, 4165632.0]|,|[-336.0, -64.0, 64.0]|,|Myo1|,|[0.9945635695539146, -0.0008544884917922555, 0.039428540406985506, -0.09637409489571225]|,1517244896.661808
|[-303104.0, -47104.0, 4141056.0]|,|[-480.0, 272.0, -32.0]|,|Myo1|,|[0.9945578071563228, -0.0011597274049324987, 0.039552808336645214, -0.09637945117833766]|,1517244896.662595
|[-497664.0, 53248.0, 4018176.0]|,|[-304.0, -48.0, -80.0]|,|Myo2|,|[0.9015841707572182, -0.023438380716997616, 0.0552388920543824, 0.4284218600328288]|,1517244896.679136
|[-479232.0, 43008.0, 4036608.0]|,|[-416.0, 64.0, -192.0]|,|Myo2|,|[0.9016418910720027, -0.023621406163340443, 0.05517765160635597, 0.4282982094267697]|,1517244896.679768
|[-319488.0, -32768.0, 4132864.0]|,|[-640.0, 576.0, -96.0]|,|Myo1|,|[0.9945404200399353, -0.0015259304345770458, 0.0399793773859186, -0.0963777662478862]|,1517244896.711945
|[-360448.0, -51200.0, 4188160.0]|,|[-448.0, 624.0, -64.0]|,|Myo1|,|[0.9945120671940303, -0.001831064319124887, 0.04052755692996417, -0.09643605414057738]|,1517244896.712383
|[-368640.0, -81920.0, 4194304.0]|,|[-288.0, 352.0, 32.0]|,|Myo1|,|[0.9945044293971395, -0.0020753176578593717, 0.04083492685611528, -0.09638019358117493]|,1517244896.713317
|[-499712.0, 36864.0, 4071424.0]|,|[-224.0, 176.0, -112.0]|,|Myo2|,|[0.9016418910720027, -0.023621406163340443, 0.05517765160635597, 0.4282982094267697]|,1517244896.72921
|[-524288.0, 32768.0, 4098048.0]|,|[-80.0, 64.0, 32.0]|,|Myo2|,|[0.9016418910720027, -0.023621406163340443, 0.05517765160635597, 0.4282982094267697]|,1517244896.72988
|[-507904.0, 36864.0, 4073472.0]|,|[-48.0, -176.0, 48.0]|,|Myo2|,|[0.9016388527764237, -0.02362132656542621, 0.05523850269175897, 0.428296766174666]|,1517244896.730568
|[-385024.0, -53248.0, 4196352.0]|,|[-272.0, -192.0, 48.0]|,|Myo1|,|[0.9945082067262012, -0.002197268653623619, 0.04089361105355068, -0.09631360931716862]|,1517244896.761961
|[-366592.0, -79872.0, 4175872.0]|,|[-208.0, -656.0, -32.0]|,|Myo1|,|[0.994516622381596, -0.0024414302746571647, 0.04052774255930893, -0.09637546009209157]|,1517244896.762508
|[-489472.0, 32768.0, 4052992.0]|,|[-64.0, -448.0, -48.0]|,|Myo2|,|[0.9016566043142829, -0.023499715181491937, 0.05493439912556557, 0.42830519851565957]|,1517244896.779103
