|acc|,|gyr|,|id|,|quat|,|timestamp|
|[-296960.0, -106496.0, 4153344.0]|,|[-496.0, -400.0, 0.0]|,|Myo1|,|[0.9953270531144277, -0.004760870187215635, 0.036133783985021234, -0.08941890800347314]|,1517244615.311343
|[-276480.0, -88064.0, 4151296.0]|,|[-160.0, 128.0, -48.0]|,|Myo1|,|[0.9953270531144277, -0.004760870187215635, 0.036133783985021234, -0.08941890800347314]|,1517244615.31178
|[-290816.0, -94208.0, 4204544.0]|,|[80.0, 448.0, -32.0]|,|Myo1|,|[0.9953128088247402, -0.0047608020536168355, 0.03637741056353377, -0.08947866423849078]|,1517244615.312509
|[-434176.0, -8192.0, 4083712.0]|,|[-400.0, -48.0, -64.0]|,|Myo2|,|[0.8111881851253773, -0.03338750468499484, 0.044740477027607334, 0.5821145012445992]|,1517244615.327778
|[-438272.0, -20480.0, 4104192.0]|,|[-128.0, 384.0, -64.0]|,|Myo2|,|[0.8112075970411736, -0.033571420494555713, 0.044863625569997186, 0.5820673924292424]|,1517244615.328254
|[-462848.0, -4096.0, 4104192.0]|,|[-64.0, 784.0, -32.0]|,|Myo2|,|[0.811181945984893, -0.03393658103593683, 0.045289466058750234, 0.5820489869760677]|,1517244615.329014
|[-323584.0, -79872.0, 4204544.0]|,|[128.0, 848.0, 0.0]|,|Myo1|,|[0.9952905224307051, -0.0046389108122613515, 0.03698920989776814, -0.08948214803651501]|,1517244615.361177
|[-366592.0, -94208.0, 4179968.0]|,|[352.0, 800.0, 32.0]|,|Myo1|,|[0.9952698224513349, -0.004394666209769171, 0.03772088496718539, -0.08941924996266438]|,1517244615.361746
|[-491520.0, -30720.0, 4085760.0]|,|[144.0, 880.0, 48.0]|,|Myo2|,|[0.8111323272511568, -0.034242248144171795, 0.04583944448533515, 0.5820571805754406]|,1517244615.377587
|[-524288.0, -14336.0, 4061184.0]|,|[240.0, 656.0, 0.0]|,|Myo2|,|[0.8111314916770128, -0.034486364120514125, 0.04644977539063938, 0.5819955431665526]|,1517244615.378363
|[-372736.0, -63488.0, 4169728.0]|,|[432.0, 544.0, -16.0]|,|Myo1|,|[0.9952474738564547, -0.00402835356767607, 0.03820832323280637, -0.08947827773050182]|,1517244615.411223
|[-393216.0, -63488.0, 4132864.0]|,|[528.0, 80.0, -32.0]|,|Myo1|,|[0.9952395618321617, -0.003662110493678996, 0.03845216018362946, -0.08947756639555679]|,1517244615.41181
|[-389120.0, -75776.0, 4149248.0]|,|[624.0, -480.0, 16.0]|,|Myo1|,|[0.9952454939788785, -0.0032959190895903005, 0.03833031830116127, -0.08947809972850704]|,1517244615.41254
|[-524288.0, 12288.0, 4026368.0]|,|[400.0, 224.0, 16.0]|,|Myo2|,|[0.8110961443727089, -0.034426416723826604, 0.046878524900529836, 0.5820139777689479]|,1517244615.427769
|[-530432.0, 12288.0, 4040704.0]|,|[496.0, -272.0, 16.0]|,|Myo2|,|[0.8111202214997729, -0.03405862620188677, 0.04705949964454247, 0.5819874566935311]|,1517244615.428251
|[-499712.0, -2048.0, 4087808.0]|,|[496.0, -672.0, 32.0]|,|Myo2|,|[0.8111094533968517, -0.03356988481964545, 0.046936802593286094, 0.5820407666184346]|,1517244615.42906
|[-360448.0, -51200.0, 4196352.0]|,|[544.0, -848.0, 16.0]|,|Myo1|,|[0.9952651375568718, -0.0029297636822476296, 0.03784278089569855, -0.08947986579531303]|,1517244615.461495
|[-329728.0, -38912.0, 4210688.0]|,|[512.0, -1056.0, 32.0]|,|Myo1|,|[0.9952910452771803, -0.002624648285718064, 0.03717234432563491, -0.08948219504331818]|,1517244615.462153
|[-479232.0, 14336.0, 4102144.0]|,|[416.0, -896.0, 48.0]|,|Myo2|,|[0.8111351936073997, -0.032960569233802084, 0.04669413974788628, 0.5820592374324753]|,1517244615.477742
|[-446464.0, 26624.0, 4102144.0]|,|[512.0, -832.0, 32.0]|,|Myo2|,|[0.8111333653007515, -0.03228907745083133, 0.04644988268446624, 0.5821189634188627]|,1517244615.47829
|[-288768.0, -36864.0, 4210688.0]|,|[592.0, -896.0, -32.0]|,|Myo1|,|[0.9953193385403479, -0.0022583439949710477, 0.0364386855404788, -0.08947925126020422]|,1517244615.511167
|[-272384.0, -36864.0, 4155392.0]|,|[400.0, -592.0, -16.0]|,|Myo1|,|[0.9953374488840642, -0.002014235347591471, 0.035951049082768985, -0.08948087938088171]|,1517244615.511765
|[-262144.0, -14336.0, 4139008.0]|,|[256.0, -128.0, 16.0]|,|Myo1|,|[0.9953444444729468, -0.001770098049286531, 0.035768188168341625, -0.08948150828462256]|,1517244615.512619
|[-442368.0, 34816.0, 4075520.0]|,|[464.0, -560.0, 48.0]|,|Myo2|,|[0.8111522246511347, -0.03174047383690195, 0.04632888392732419, 0.5821324980433344]|,1517244615.527756
|[-421888.0, 51200.0, 4052992.0]|,|[256.0, -144.0, 48.0]|,|Myo2|,|[0.8111327760144663, -0.03137348535416026, 0.04632777312024832, 0.5821795784201956]|,1517244615.528304
|[-440320.0, 30720.0, 4034560.0]|,|[192.0, 224.0, 16.0]|,|Myo2|,|[0.8111327760144663, -0.03137348535416026, 0.04632777312024832, 0.5821795784201956]|,1517244615.535683
|[-266240.0, -14336.0, 4161536.0]|,|[160.0, 208.0, 0.0]|,|Myo1|,|[0.9953467213622105, -0.0017090640950599063, 0.03570723198607304, -0.0894817129770651]|,1517244615.561116
|[-294912.0, -28672.0, 4171776.0]|,|[-80.0, 384.0, -16.0]|,|Myo1|,|[0.995335828405587, -0.0017090453912648822, 0.03601202788736716, -0.08948073369979705]|,1517244615.56843
|[-450560.0, 34816.0, 4069376.0]|,|[48.0, 416.0, -32.0]|,|Myo2|,|[0.8111485375983292, -0.031435134085569985, 0.04663386881820479, 0.5821298519885066]|,1517244615.577687
|[-464896.0, 51200.0, 4073472.0]|,|[-176.0, 320.0, -48.0]|,|Myo2|,|[0.8111384785464392, -0.03155682093524788, 0.04681640552676039, 0.5821226329970194]|,1517244615.578326
|[-299008.0, -28672.0, 4210688.0]|,|[-272.0, 336.0, -32.0]|,|Myo1|,|[0.9953290332359117, -0.001831107560990823, 0.0361948927889186, -0.08948012281375155]|,1517244615.611274
|[-317440.0, -43008.0, 4196352.0]|,|[-352.0, 144.0, -32.0]|,|Myo1|,|[0.9953220694901852, -0.0020142042247609073, 0.03637774902901517, -0.08947949677271182]|,1517244615.611815
|[-329728.0, -45056.0, 4194304.0]|,|[-464.0, -64.0, 0.0]|,|Myo1|,|[0.9953191994905503, -0.002319379995133434, 0.03643868044985948, -0.08947923875962142]|,1517244615.612628
|[-464896.0, 22528.0, 4065280.0]|,|[-304.0, 176.0, -64.0]|,|Myo2|,|[0.8111337778019153, -0.031739752009706974, 0.04681613421431778, 0.5821192594549527]|,1517244615.627756
|[-471040.0, 30720.0, 4073472.0]|,|[-368.0, 0.0, 0.0]|,|Myo2|,|[0.8111336795872953, -0.03192286209828847, 0.046694052591186766, 0.5821191889701284]|,1517244615.628211
|[-458752.0, 26624.0, 4040704.0]|,|[-448.0, -112.0, 0.0]|,|Myo2|,|[0.8111358463611981, -0.0321060617944157, 0.04651106290369726, 0.5821207439797386]|,1517244615.629108
|[-323584.0, -36864.0, 4149248.0]|,|[-480.0, -144.0, 0.0]|,|Myo1|,|[0.9953184486226501, -0.0026245595934735974, 0.03643865296055204, -0.08947917125656497]|,1517244615.661269
|[-329728.0, -57344.0, 4147200.0]|,|[-496.0, -96.0, -32.0]|,|Myo1|,|[0.9953152097131831, -0.002990767478748143, 0.03649957045492632, -0.08947888007846486]|,1517244615.661812
|[-458752.0, 8192.0, 4052992.0]|,|[-448.0, -32.0, -32.0]|,|Myo2|,|[0.8111379587558192, -0.032289260304148415, 0.04632806913203903, 0.582122259963447]|,1517244615.677681
|[-475136.0, 8192.0, 4044800.0]|,|[-512.0, 96.0, -64.0]|,|Myo2|,|[0.8111328938716206, -0.032655286193191135, 0.046205704015412505, 0.5821186250924558]|,1517244615.678302
|[-325632.0, -61440.0, 4167680.0]|,|[-560.0, 32.0, -32.0]|,|Myo1|,|[0.9953096107570816, -0.0033569650206438637, 0.03662143658884215, -0.08947837673207099]|,1517244615.711241
|[-323584.0, -86016.0, 4200448.0]|,|[-480.0, 32.0, -64.0]|,|Myo1|,|[0.9953038635825362, -0.0037231578879336914, 0.03674329587764069, -0.08947786006083265]|,1517244615.711677
|[-333824.0, -67584.0, 4200448.0]|,|[-416.0, 0.0, 0.0]|,|Myo1|,|[0.9952982147631534, -0.004028311901291968, 0.03686515739970225, -0.08947735223172766]|,1517244615.712592
|[-475136.0, -4096.0, 4085760.0]|,|[-528.0, 192.0, -80.0]|,|Myo2|,|[0.8111254251537441, -0.033021209647691736, 0.04614424120823467, 0.582113265083246]|,1517244615.727712
|[-473088.0, -10240.0, 4093952.0]|,|[-464.0, 144.0, -64.0]|,|Myo2|,|[0.8111489440783242, -0.03338840186702109, 0.04602350092821555, 0.5820691045775378]|,1517244615.728176
|[-477184.0, -10240.0, 4089856.0]|,|[-432.0, 32.0, -32.0]|,|Myo2|,|[0.8111468587970913, -0.033632471908886845, 0.04590130467419765, 0.5820676082089745]|,1517244615.72909
|[-329728.0, -96256.0, 4177920.0]|,|[-400.0, -80.0, -16.0]|,|Myo1|,|[0.9952938653250362, -0.004394772372341629, 0.036928295628703964, -0.08948244858128927]|,1517244615.761272
