|acc|,|gyr|,|id|,|quat|,|timestamp|
|[-489472.0, -47104.0, 4319232.0]|,|[592.0, 2608.0, 32.0]|,|Myo1|,|[0.9991373070683112, -0.004699955565047343, 0.04126194755807797, -6.10383839616538e-05]|,1517245336.713199
|[-542720.0, -22528.0, 4282368.0]|,|[368.0, 704.0, 32.0]|,|Myo1|,|[0.999095379803301, -0.004394579225721649, 0.04229782504757087, -6.103582257946735e-05]|,1517245336.713718
|[-382976.0, 79872.0, 4098048.0]|,|[-304.0, 1088.0, 0.0]|,|Myo2|,|[0.9435354697837653, -0.010681763954726286, 0.057498409402012354, 0.3260684745494161]|,1517245336.731687
|[-481280.0, 59392.0, 4046848.0]|,|[-96.0, 1984.0, -80.0]|,|Myo2|,|[0.9434715522635837, -0.011231077545222191, 0.05878004171765744, 0.32600644113604194]|,1517245336.732251
|[-512000.0, -12288.0, 4202496.0]|,|[288.0, -1536.0, 32.0]|,|Myo1|,|[0.9991197393335738, -0.0040894998188862755, 0.0417495205390778, 0.0]|,1517245336.763169
|[-403456.0, -30720.0, 4005888.0]|,|[80.0, -3232.0, 16.0]|,|Myo1|,|[0.9991996614284759, -0.004028538647176507, 0.03979707875695579, 0.0]|,1517245336.763726
|[-280576.0, -32768.0, 3997696.0]|,|[-128.0, -3920.0, -32.0]|,|Myo1|,|[0.9993050552630277, -0.004089508838420648, 0.03704972932718408, 0.0]|,1517245336.770968
|[-540672.0, 61440.0, 4067328.0]|,|[16.0, 1776.0, -48.0]|,|Myo2|,|[0.9434071430668721, -0.01165830514530102, 0.06006163488469217, 0.3259442380937563]|,1517245336.781584
|[-585728.0, 65536.0, 4052992.0]|,|[64.0, 1104.0, -16.0]|,|Myo2|,|[0.9433635201155381, -0.011963717239899417, 0.06097833429928325, 0.32588921603991317]|,1517245336.782241
|[-589824.0, 65536.0, 4065280.0]|,|[176.0, 128.0, 16.0]|,|Myo2|,|[0.9433600071039053, -0.011963672687956353, 0.06103914636712425, 0.3258880024540764]|,1517245336.782997
|[-157696.0, -28672.0, 4102144.0]|,|[-240.0, -3040.0, -48.0]|,|Myo1|,|[0.99939186550124, -0.004272470415603201, 0.03460701036638592, 0.0]|,1517245336.813029
|[-104448.0, -20480.0, 4261888.0]|,|[-464.0, -1312.0, -80.0]|,|Myo1|,|[0.9994383620861569, -0.00451682171701329, 0.03320474343317878, -6.103813131099041e-05]|,1517245336.813612
|[-565248.0, 53248.0, 4108288.0]|,|[160.0, -832.0, 16.0]|,|Myo2|,|[0.9433863043812364, -0.011780121425050376, 0.0607317140825136, 0.32587600149401014]|,1517245336.831584
|[-528384.0, 77824.0, 4100096.0]|,|[208.0, -1312.0, -32.0]|,|Myo2|,|[0.9434387353708614, -0.01141379591863564, 0.059998724000100714, 0.32587302892831915]|,1517245336.832235
|[-122880.0, -36864.0, 4321280.0]|,|[-576.0, 960.0, -32.0]|,|Myo1|,|[0.9994325831695984, -0.004883022270280192, 0.03332662699466231, -6.10377783785024e-05]|,1517245336.863107
|[-206848.0, -32768.0, 4255744.0]|,|[-576.0, 2528.0, 16.0]|,|Myo1|,|[0.999380792258148, -0.0052492975101814405, 0.034791855590737455, -6.103834314164466e-05]|,1517245336.863758
|[-317440.0, -57344.0, 4132864.0]|,|[-608.0, 3200.0, 80.0]|,|Myo1|,|[0.9992973115532457, -0.0056764384299078825, 0.037049442225312736, 0.0]|,1517245336.864339
|[-489472.0, 96256.0, 4108288.0]|,|[352.0, -1488.0, 16.0]|,|Myo2|,|[0.9434937824562069, -0.010743022948327128, 0.0591476661189147, 0.32589204273362804]|,1517245336.881681
|[-440320.0, 81920.0, 4073472.0]|,|[480.0, -1280.0, 96.0]|,|Myo2|,|[0.943531710143604, -0.010132375720263829, 0.05835271800344711, 0.3259450984711376]|,1517245336.882258
|[-397312.0, 98304.0, 4055040.0]|,|[368.0, -656.0, 48.0]|,|Myo2|,|[0.9435475962038397, -0.009644230831945056, 0.057804345556025115, 0.32601162578113]|,1517245336.8897
|[-382976.0, -61440.0, 4003840.0]|,|[-720.0, 2608.0, 16.0]|,|Myo1|,|[0.9992201148766302, -0.006164634512402398, 0.039001994588367644, 6.103598527131087e-05]|,1517245336.913016
|[-458752.0, -77824.0, 4059136.0]|,|[-640.0, 1408.0, -48.0]|,|Myo1|,|[0.9991636610233852, -0.00665295290479835, 0.04034497128506155, 0.0]|,1517245336.913578
|[-393216.0, 100352.0, 4079616.0]|,|[336.0, 240.0, 0.0]|,|Myo2|,|[0.943546998572532, -0.009339027738491228, 0.05786534834045545, 0.3260114192894225]|,1517245336.931611
|[-428032.0, 94208.0, 4108288.0]|,|[256.0, 1264.0, -80.0]|,|Myo2|,|[0.9435255285421669, -0.00933881523269191, 0.05859648773453747, 0.3259429630233647]|,1517245336.932196
|[-479232.0, -79872.0, 4157440.0]|,|[-576.0, -80.0, -128.0]|,|Myo1|,|[0.9991453607299534, -0.0071415484883257715, 0.04071293027105376, -6.103887596859633e-05]|,1517245336.963009
|[-432128.0, -86016.0, 4278272.0]|,|[-512.0, -1424.0, -80.0]|,|Myo1|,|[0.9991698698942525, -0.007507507269211549, 0.04004003876912826, -6.103664446513454e-05]|,1517245336.96359
|[-368640.0, -92160.0, 4292608.0]|,|[-400.0, -2160.0, 16.0]|,|Myo1|,|[0.9992223334857471, -0.007873659582167332, 0.03863586446133272, -6.103612079199482e-05]|,1517245336.964359
|[-501760.0, 102400.0, 4102144.0]|,|[80.0, 1872.0, -48.0]|,|Myo2|,|[0.9434626644929835, -0.009705024497275304, 0.05987817001149103, 0.32588129428272233]|,1517245336.981649
|[-552960.0, 92160.0, 4102144.0]|,|[-80.0, 1760.0, 16.0]|,|Myo2|,|[0.9433568086982316, -0.01013246394331326, 0.06109997835696731, 0.3259479364897157]|,1517245336.982196
|[-608256.0, 90112.0, 4055040.0]|,|[-176.0, 864.0, 32.0]|,|Myo2|,|[0.9432963180191422, -0.01055974265674334, 0.06195455951788723, 0.32594812593647077]|,1517245336.982986
|[-305152.0, -102400.0, 4165632.0]|,|[-384.0, -2304.0, 64.0]|,|Myo1|,|[0.9992799875159631, -0.008178812504711646, 0.03704879992805947, 0.0]|,1517245337.013084
|[-219136.0, -77824.0, 4098048.0]|,|[-224.0, -1792.0, 16.0]|,|Myo1|,|[0.999329545841247, -0.008361824209384404, 0.03564456451299629, 6.103521320718543e-05]|,1517245337.013713
|[-606208.0, 98304.0, 4067328.0]|,|[-304.0, -448.0, -32.0]|,|Myo2|,|[0.9433089472132415, -0.010681272453077791, 0.061829308542673156, 0.32593139942534516]|,1517245337.031592
|[-552960.0, 94208.0, 4073472.0]|,|[-272.0, -1632.0, -64.0]|,|Myo2|,|[0.9433892671932956, -0.010498379526219388, 0.06091501608817993, 0.325877024944682]|,1517245337.032207
|[-167936.0, -98304.0, 4009984.0]|,|[0.0, -880.0, -32.0]|,|Myo1|,|[0.9993607127161619, -0.008484159229679747, 0.03473011943660271, 6.103711676028595e-05]|,1517245337.063038
|[-198656.0, -90112.0, 4134912.0]|,|[224.0, 352.0, -64.0]|,|Myo1|,|[0.9993638587910262, -0.008362111320733561, 0.03466919146114352, 0.0]|,1517245337.06359
|[-233472.0, -106496.0, 4233216.0]|,|[464.0, 1504.0, 0.0]|,|Myo1|,|[0.9993358969979279, -0.008117734947824126, 0.03552271984686948, -6.103560111145959e-05]|,1517245337.064448
|[-489472.0, 75776.0, 4069376.0]|,|[-144.0, -2048.0, -48.0]|,|Myo2|,|[0.9434758635467145, -0.010132431477567096, 0.059573813988587264, 0.32588585336584774]|,1517245337.081663
|[-425984.0, 77824.0, 4089856.0]|,|[-128.0, -1616.0, 32.0]|,|Myo2|,|[0.9435345839178008, -0.009827213611771635, 0.058352895732010454, 0.3259460912227362]|,1517245337.082237
|[-387072.0, 81920.0, 4091904.0]|,|[-144.0, -608.0, 32.0]|,|Myo2|,|[0.9435570626583761, -0.00970473982551794, 0.05774015015685516, 0.32599380759805857]|,1517245337.082969
|[-309248.0, -90112.0, 4265984.0]|,|[560.0, 2144.0, 32.0]|,|Myo1|,|[0.9992874236932195, -0.0078126551571422, 0.03692700289117993, -6.103636841517344e-05]|,1517245337.113074
|[-378880.0, -71680.0, 4202496.0]|,|[528.0, 2112.0, 64.0]|,|Myo1|,|[0.9992303109221732, -0.007446466186091572, 0.03851409970019493, 0.0]|,1517245337.113729
|[-395264.0, 71680.0, 4096000.0]|,|[-288.0, 544.0, -32.0]|,|Myo2|,|[0.9435514718896343, -0.00994882527446862, 0.05780084377252628, 0.32599187601801777]|,1517245337.131556
|[-448512.0, 77824.0, 4091904.0]|,|[-304.0, 1392.0, -96.0]|,|Myo2|,|[0.9435192503951787, -0.010376392325474212, 0.05853506023605747, 0.32594079422371935]|,1517245337.132351
|[-421888.0, -65536.0, 4116480.0]|,|[528.0, 1280.0, 16.0]|,|Myo1|,|[0.9991871365983962, -0.007141410811363003, 0.03967450450757224, 0.0]|,1517245337.163265
|[-440320.0, -43008.0, 4052992.0]|,|[560.0, 16.0, 16.0]|,|Myo1|,|[0.9991755093466987, -0.006714068786080444, 0.04004026476062519, 0.0]|,1517245337.163823
|[-401408.0, -40960.0, 4077568.0]|,|[576.0, -1312.0, 16.0]|,|Myo1|,|[0.9992049216625131, -0.006286994925549105, 0.039370016766788085, 0.0]|,1517245337.171118
|[-497664.0, 59392.0, 4065280.0]|,|[-224.0, 1600.0, -64.0]|,|Myo2|,|[0.9434714099026131, -0.010925883572010594, 0.05951249431681748, 0.32588431503332155]|,1517245337.181665
|[-552960.0, 83968.0, 4067328.0]|,|[-128.0, 1168.0, 0.0]|,|Myo2|,|[0.9434090604077933, -0.011292098613835518, 0.060427987176741416, 0.3258838621582045]|,1517245337.182356
|[34816.0, 18432.0, 4321280.0]|,|[-7680.0, -5296.0, 1968.0]|,|Myo2|,|[0.9431937642593151, -0.01452663663325678, 0.05389504263515015, 0.32752072342040284]|,1517245337.182959
|[-337920.0, -47104.0, 4182016.0]|,|[560.0, -2112.0, 16.0]|,|Myo1|,|[0.9992595346147316, -0.005859685744488073, 0.03802691894600072, 0.0]|,1517245337.213178
|[-270336.0, -34816.0, 4253696.0]|,|[512.0, -2096.0, 0.0]|,|Myo1|,|[0.9993207461346145, -0.005493456337168049, 0.03643992703654806, 0.0]|,1517245337.213801
|[149504.0, 151552.0, 4190208.0]|,|[768.0, 12400.0, 336.0]|,|Myo2|,|[0.9427385304640157, -0.01580895301975915, 0.060305967503946095, 0.3276542849809541]|,1517245337.231527
|[-733184.0, 10240.0, 4380672.0]|,|[8288.0, 25136.0, -4576.0]|,|Myo2|,|[0.9426548256053194, -0.01654101642961937, 0.07824938399546875, 0.3240452259219529]|,1517245337.232273
|[-219136.0, -18432.0, 4265984.0]|,|[272.0, -1328.0, -32.0]|,|Myo1|,|[0.9993618594477008, -0.005188160877851009, 0.03534053115618511, -6.103718679824716e-05]|,1517245337.263117
|[-196608.0, -16384.0, 4161536.0]|,|[80.0, -160.0, 16.0]|,|Myo1|,|[0.999366163449338, -0.005188183221962605, 0.03521860845967557, -6.10374496701483e-05]|,1517245337.263582
|[-221184.0, -20480.0, 4096000.0]|,|[64.0, 992.0, 32.0]|,|Myo1|,|[0.9993494857527436, -0.005066023778017329, 0.0357063121703631, 0.0]|,1517245337.264402
|[-1239040.0, 219136.0, 4538368.0]|,|[-1808.0, 2736.0, -1376.0]|,|Myo2|,|[0.942673497019839, -0.018433527331001773, 0.08105868972043163, 0.32319710999223306]|,1517245337.281667
|[-1331200.0, 253952.0, 3538944.0]|,|[-1808.0, -17984.0, 256.0]|,|Myo2|,|[0.9433482188554331, -0.01586997974134019, 0.07147594721965139, 0.3236255099560988]|,1517245337.282182
|[-122880.0, 534528.0, 3706880.0]|,|[3632.0, 3840.0, -992.0]|,|Myo2|,|[0.9434553498897865, -0.012756820089730569, 0.07397734903709784, 0.3228879343285871]|,1517245337.283174
|[-264192.0, -30720.0, 4098048.0]|,|[-80.0, 1760.0, 32.0]|,|Myo1|,|[0.9993095973304117, -0.005066130990619605, 0.03680574683546532, 0.0]|,1517245337.313065
|[-337920.0, -40960.0, 4132864.0]|,|[-256.0, 1872.0, 0.0]|,|Myo1|,|[0.999258276267884, -0.005249295202433451, 0.03814894769210357, 0.0]|,1517245337.313647
|[-997376.0, 288768.0, 4683776.0]|,|[3136.0, -3072.0, -3504.0]|,|Myo2|,|[0.9443210033948047, -0.010132330590365043, 0.07367303025644945, 0.3205112525904027]|,1517245337.331607
|[192512.0, 253952.0, 4241408.0]|,|[-2352.0, -7392.0, -3600.0]|,|Myo2|,|[0.945546204827302, -0.009094724970580854, 0.06647084223464798, 0.3184984892381939]|,1517245337.332267
|[-432128.0, -26624.0, 4235264.0]|,|[-320.0, 576.0, -128.0]|,|Myo1|,|[0.9992318074107649, -0.0053712295554423865, 0.038819340877969975, -6.103669949366349e-05]|,1517245337.363056
|[-366592.0, -149504.0, 4231168.0]|,|[-336.0, 1344.0, 32.0]|,|Myo1|,|[0.9991878252749882, -0.005920660907249472, 0.0398576450766382, -6.103774131185022e-05]|,1517245337.363578
|[-430080.0, -380928.0, 4018176.0]|,|[1680.0, 1088.0, -960.0]|,|Myo1|,|[0.9991492113296232, -0.0057373259538781056, 0.040832670884515455, -0.0007934599723448443]|,1517245337.36438
|[-868352.0, 616448.0, 4413440.0]|,|[-13248.0, 8560.0, -13344.0]|,|Myo2|,|[0.9477985122068409, -0.018677636832515023, 0.07013269516522798, 0.31050045283334615]|,1517245337.381672
|[-911360.0, 380928.0, 4882432.0]|,|[7136.0, -3728.0, -27136.0]|,|Myo2|,|[0.9536193393602994, -0.014405310381426784, 0.06909665827023356, 0.29262312698542375]|,1517245337.382134
|[-706560.0, 282624.0, 4423680.0]|,|[6208.0, -17104.0, -52848.0]|,|Myo2|,|[0.964322416851131, -0.009277612973059807, 0.05883959806598457, 0.2579420554220444]|,1517245337.389596
|[-516096.0, -286720.0, 4022272.0]|,|[4992.0, 560.0, -4624.0]|,|Myo1|,|[0.9991145114409938, -0.003234960541656343, 0.04174930208477243, -0.004089478420584433]|,1517245337.413054
|[-155648.0, 210944.0, 4284416.0]|,|[4640.0, -1792.0, -3168.0]|,|Myo1|,|[0.9991802480495467, 0.00042726094907433274, 0.039979417377669704, -0.006347876957675801]|,1517245337.413622
|[-673792.0, 1161216.0, 3899392.0]|,|[-1328.0, -24640.0, -76064.0]|,|Myo2|,|[0.9772030342947012, -0.008117926518500641, 0.04229866975429282, 0.2078921633234074]|,1517245337.431603
|[-329728.0, 548864.0, 3860480.0]|,|[-1392.0, -27984.0, -96000.0]|,|Myo2|,|[0.989310226768645, -0.0074466835924095936, 0.023011473068347676, 0.14380644707964754]|,1517245337.432242
|[-131072.0, 219136.0, 4306944.0]|,|[2640.0, 64.0, -2928.0]|,|Myo1|,|[0.9991859639901781, 0.0027466932424897996, 0.03936926980902046, -0.008362154982691168]|,1517245337.463036
|[-98304.0, 71680.0, 4218880.0]|,|[2000.0, 784.0, -3056.0]|,|Myo1|,|[0.9991657920526483, 0.004150474884519248, 0.03924640221685112, -0.010498260002019274]|,1517245337.463617
|[-382976.0, 24576.0, 4208640.0]|,|[976.0, 2448.0, -4320.0]|,|Myo1|,|[0.999057155516137, 0.0046998656509495695, 0.04101700931737806, -0.013428187574141628]|,1517245337.46436
|[610304.0, 380928.0, 4493312.0]|,|[-6448.0, -27696.0, -93008.0]|,|Myo2|,|[0.9966491962704185, -0.010131898253468642, 0.002807634455780467, 0.08111622155939655]|,1517245337.481818
|[1216512.0, -548864.0, 4243456.0]|,|[-5680.0, -14400.0, -74560.0]|,|Myo2|,|[0.9994044849888785, -0.013611041905003047, -0.008606084791952599, 0.030518031177136876]|,1517245337.482378
|[-342016.0, 258048.0, 3627008.0]|,|[-8672.0, 5776.0, -33200.0]|,|Myo2|,|[0.9997750460750255, -0.019104370538552073, -0.0048829062079366325, 0.007812649932698612]|,1517245337.483025
