|acc|,|gyr|,|id|,|quat|,|timestamp|
|[-382976.0, 16384.0, 4139008.0]|,|[1536.0, -736.0, 704.0]|,|Myo1|,|[0.9983207144165285, 0.0007934806363056291, 0.040528549423610595, -0.04138306703193974]|,1517245310.813142
|[-370688.0, 12288.0, 4329472.0]|,|[912.0, -1184.0, 464.0]|,|Myo1|,|[0.9983645120306812, 0.0014648620339143088, 0.03973438266992563, -0.04107717286768041]|,1517245310.813668
|[-325632.0, 28672.0, 4225024.0]|,|[816.0, -1200.0, -384.0]|,|Myo1|,|[0.9983870498344762, 0.0020142307663103087, 0.038880757519383836, -0.04132224935733572]|,1517245310.814511
|[-473088.0, -149504.0, 3997696.0]|,|[3424.0, -1376.0, 256.0]|,|Myo2|,|[0.8904146723982055, -0.03503551014234781, 0.04687678012077199, 0.45137212108477714]|,1517245310.831445
|[-448512.0, -77824.0, 4122624.0]|,|[4384.0, -1232.0, 224.0]|,|Myo2|,|[0.8904961498936884, -0.03204540946563757, 0.04736616713397095, 0.45138248190169483]|,1517245310.832077
|[-284672.0, 28672.0, 4225024.0]|,|[528.0, -880.0, -608.0]|,|Myo1|,|[0.9983965459616229, 0.002441515060125018, 0.0381486728144534, -0.0417499075281378]|,1517245310.862987
|[-270336.0, 47104.0, 4067328.0]|,|[80.0, -352.0, 64.0]|,|Myo1|,|[0.9984126654487883, 0.00256363220326766, 0.0377830555672067, -0.04168954273409075]|,1517245310.863559
|[-411648.0, -53248.0, 4087808.0]|,|[4400.0, -688.0, 224.0]|,|Myo2|,|[0.890530282761701, -0.029114663802421618, 0.048158217484508714, 0.45142988151511587]|,1517245310.881739
|[-401408.0, 2048.0, 4143104.0]|,|[4000.0, -16.0, 304.0]|,|Myo2|,|[0.8905216286996722, -0.02655085047870853, 0.049256405370845475, 0.45148653101380914]|,1517245310.882519
|[-405504.0, 71680.0, 4089856.0]|,|[4416.0, 544.0, 400.0]|,|Myo2|,|[0.8904725383282127, -0.023804530121872846, 0.050905072106774245, 0.4515536252349111]|,1517245310.88293
|[-274432.0, 40960.0, 4065280.0]|,|[-48.0, 16.0, 608.0]|,|Myo1|,|[0.9984326932192695, 0.002624563260082442, 0.0377204673193244, -0.041260575902691415]|,1517245310.912885
|[-268288.0, 24576.0, 4100096.0]|,|[-112.0, 560.0, 272.0]|,|Myo1|,|[0.9984309952272439, 0.002624558796599308, 0.03796454817406441, -0.04107739697933336]|,1517245310.91354
|[-305152.0, 32768.0, 4235264.0]|,|[-512.0, 912.0, -448.0]|,|Myo1|,|[0.9983978757386196, 0.002380480354209584, 0.03851495137195506, -0.041383735388566614]|,1517245310.91462
|[-460800.0, 116736.0, 4009984.0]|,|[3920.0, 1056.0, 352.0]|,|Myo2|,|[0.8903535271190848, -0.021546225753961534, 0.05285844618393963, 0.4516772537657659]|,1517245310.931475
|[-491520.0, 151552.0, 4032512.0]|,|[2864.0, 1296.0, 160.0]|,|Myo2|,|[0.89030409719271, -0.0199595118457436, 0.05475132148511318, 0.4516221044240272]|,1517245310.932046
